pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,fit1,fit2,fit3,predicted_label
377.4843073753773,296.9959862137953,307.7439009936594,273.5898344907323,466.8358625163329,456.5035041120582,215.8880279186644,2.0,6134.395399334069,1817479.6693045003,1727167.1773860718,15
212.2317028099045,112.00078473761916,273.13363322003977,401.452037340878,126.53728932592458,350.1241321557627,270.0443461346304,2.0,6246.626522666384,961980.7481929268,6788620.795322881,2
327.4006714098848,248.47933845374217,153.02912454371528,363.7857590494001,345.43444904830096,366.6466885525423,457.9995405967602,8.0,6636.315870686233,1404671.144497349,4088574.95959715,3
258.0533942653889,378.5418437685917,114.00136925015656,355.32037191704137,485.7110408518663,490.6127964300614,168.29581589376096,3.0,3175.6695070396145,1923416.9664633723,1977815.497997146,9
490.1750636306964,261.47870122529,496.80272795370047,215.9271474861992,220.63523913551904,407.2656761636712,435.1287024355771,2.0,10788.7377917069,1256022.0798207906,3260664.52519226,17
277.5518963958008,490.8632806342963,115.0538364134872,132.58747240275372,189.8359096525635,215.7686468352171,430.7545076049859,1.0,5873.153962361084,801542.5857211499,5469103.242204133,21
277.88088943447656,396.91886228210063,477.9418960224544,213.8712620564703,206.8808345742925,157.3796748860278,470.8914050114692,1.0,10913.816934879873,712294.353589095,6382433.12770733,19
347.0103023124066,351.96874621244035,347.58980888439714,329.26175022575603,378.6815397785504,325.9076334195218,281.2530040044143,1.0,7311.261894831374,1382246.0170470693,3779114.105673442,15
293.96874643625426,127.4642891666348,111.7256534778107,197.6771261629924,291.4303409082507,265.09207303780306,413.8194498379256,7.0,5657.500878284265,1093362.9303156226,5239521.283108944,4
371.1537302118672,197.44929440278773,479.4273363428934,480.5937805093301,220.2678729711959,424.4746988017676,420.9600987989832,2.0,10422.143453577615,1291014.3643753133,4767959.366157667,12
367.7626102448062,281.32872360704823,402.1387797998264,243.90855500142888,285.008216435058,271.21901348024926,305.0522248393727,6.0,8250.653600884161,1094082.3896292574,4700499.913837274,24
197.65481767750904,123.24020453285978,401.1311342120383,415.0616963851634,244.1627913248384,322.6201305460716,369.0257400349539,3.0,8892.02723275487,1124434.5237252074,6299072.032814957,13
434.14040293198593,435.4403252028855,302.7588247237983,350.03496017064367,289.22510842159033,470.5654904829054,124.57463369074856,5.0,5136.965244415183,1515235.7201710732,2560743.0855170405,10
476.3661736641493,358.72574748118626,273.6341365017614,351.07090625375656,227.4226732048772,476.1637769494429,452.8774968068991,4.0,8122.771064331261,1411526.159851299,2915824.884958988,17
264.19684345897974,446.01065352143627,332.75340987003887,364.43158904135294,294.8466780205189,335.1870093082271,209.44614612559832,7.0,6387.620923889053,1245058.2272825546,4609798.758212175,10
234.83341623044663,222.2363138454587,235.69237435216763,364.8871834990729,146.89726154184726,430.76229607415576,336.3320277949216,1.0,6446.798565805771,1167149.0545867428,5419319.005379551,7
160.37894809472428,355.6618537897267,344.6046132901617,384.7765929576005,385.52790533356296,444.36724825377615,170.58871365768198,10.0,6141.455275154103,1640610.9870833952,3726498.265292052,10
355.4931538705128,293.248245253857,188.6200544360517,155.23869046880887,466.6292550825744,128.31621196851427,242.25429523959053,1.0,4884.094671784456,1076253.8916935956,4667267.638747017,20
421.67662255818834,112.12833768955636,119.33001162781908,395.5113361151287,228.69768316036584,280.15707610037174,401.4685540427191,2.0,5628.219741475162,1007544.0832264996,5676329.020674209,2
336.4170024906118,286.365572117266,328.08881317223967,313.6574057388866,328.4774007765733,314.9196668020068,475.6249587031482,1.0,9050.20374077374,1265790.8657749142,4380491.801548388,17
498.46723189166,198.3693923070536,322.72364081128404,387.3865274508101,241.9851681547922,328.5544565800162,104.1408141083582,6.0,5182.73427311779,1132674.384938513,4542411.050795257,2
459.3658949012184,405.0957515539872,135.8967423303809,488.0769866975984,360.99020446136416,412.6675363122584,481.1804564173292,1.0,6654.780140155238,1529106.7389828025,3020901.570428605,17
171.36178726462856,433.21727212315216,409.2836923797335,301.27812386508674,380.88564394127656,478.035354190408,178.40892254271665,8.0,7046.689428253118,1701749.8016244683,2926842.5236481503,10
334.34539426414347,445.4203835379049,373.8475878169788,450.9690563431146,119.24675998230612,163.0285972772066,471.0645992972935,8.0,9587.417033424954,560491.0323908137,6723400.601258177,22
488.140075651286,457.9748895452887,278.07926616331287,134.65901895838482,419.50458677530617,159.5474366534592,213.74776958135504,8.0,5734.0077282627,1033592.1241149252,3715828.613943932,20
272.34082500481964,134.93187180914185,296.0075836091221,374.1393699499351,184.5570350823308,343.8688068802486,286.01004247918235,5.0,6701.756770975238,1057270.091043641,5994748.4133517705,2
170.7508304984172,104.45359715502418,245.92819028388945,463.6644723326541,423.2968141902472,381.828490741578,431.3574323136226,9.0,7549.185695473791,1581427.886666856,4821248.111096044,3
